REG ANS;DATA;IED;Fatur;EVA;EBITDATRAD;RSV;ROA;ROE;MEBITDA;PMRE;PMPE;Ciclo;Imob;PCT;CE;LC;LG;ISTR;IDC;IDA;TAM;HHI;CR4;CR8;CR12;CRn;Benefassist;Benefexcl;Beneftot;TKM;CMg;Lerner;Reclam;Ireclam;Segmentacao;Modalidade;Estado;FEA
27;01/10/2007;0;4606816,28;-1497034,12;40409,39;0,56;0,06;0,07;0,49;0,54;0;0,54;0,01;0,08;1;12,45;13,62;0,47;0;0,4;16,28;0,22;0,83;0,12;0,05;0;2366;0;2366;162,26;76,36;0,53;2;8,45;MÉDICO-HOSPITALAR;Seguradora Especializada em Saúde;RJ;0
43;01/10/2007;1;4039453349;17316018,84;181233965,1;0,28;0,14;0,27;0,12;9,12;0;9,12;0,19;0,87;0,76;1,34;1,76;0,73;0,08;0,09;20,86;0,22;0,83;0,12;0,05;0;728898;31540;760438;436,36;317,8;0,27;86;1,13;MÉDICO-HOSPITALAR;Seguradora Especializada em Saúde;RJ;1
51;01/10/2007;0;0;-559338,91;-25414,84;0;-0,01;-0,01;0;0;0;0;0;0,01;1;3,43;;0;0;0;15,43;0,22;0,83;0,12;0,05;0;0;545311;545311;0;0;;0;0;MÉDICO-HOSPITALAR;Seguradora Especializada em Saúde;RJ;1
361;01/10/2007;0;373858392,2;-2585007,95;14052171,57;0,36;0,13;0,3;0,15;6,82;0;6,82;0,06;1,21;0,91;1,33;1,71;0,77;0,07;0,02;18,64;0,22;0,83;0,12;0,05;0;83703;0;83703;372,21;287,08;0,23;0;0;MÉDICO-HOSPITALAR;Seguradora Especializada em Saúde;SP;1
477;01/10/2007;0;508940902,7;-275577,18;13922215,55;0,19;0,11;0,29;0,09;6,3;0;6,3;0,05;1,62;0,81;1,5;1,53;0,72;0,07;0,16;18,73;0,22;0,83;0,12;0,05;0;155874;0;155874;272,09;195,1;0,28;15;0,96;MÉDICO-HOSPITALAR;Seguradora Especializada em Saúde;SP;0
515;01/10/2007;0;551206744,1;8749678,17;37884945,99;0,37;0,19;0,31;0,18;3,2;0;3,2;0;0,65;0,84;2,8;2,53;0,7;0,08;0,08;18,99;0,22;0,83;0,12;0,05;0;92438;0;92438;489,6;343,19;0,3;7;0,76;MÉDICO-HOSPITALAR;Seguradora Especializada em Saúde;SP;0
582;01/10/2007;0;941577949,4;-7548292,05;12616706,78;0,26;0,12;0,3;0,09;8,78;0;8,78;0;1,44;0,53;2,9;1,69;0,71;0,09;0,17;19,58;0,22;0,83;0,12;0,05;0;330188;19243;349431;224,55;158,9;0,29;17;0,49;MÉDICO-HOSPITALAR;Seguradora Especializada em Saúde;SP;0
701;01/10/2007;0;467356409,6;2938272,65;20121722,41;0,25;0,15;0,32;0,12;2,13;0;2,13;0,19;1,14;0,96;1,37;1,52;0,72;0,05;0,13;18,59;0,22;0,83;0,12;0,05;0;157298;0;157298;245,17;176,16;0,28;3;0,19;MÉDICO-HOSPITALAR;Seguradora Especializada em Saúde;SP;1
884;01/10/2007;0;179911130,9;-235455064;136535931,7;-9,19;0,13;0,14;2,51;3,7;0;3,7;0,82;0,06;0,91;3,59;3,29;1,25;0;0,1;21,31;0,22;0,83;0,12;0,05;0;19543;0;19543;767,16;961,32;;10;5,12;MÉDICO-HOSPITALAR;Seguradora Especializada em Saúde;SP;0
5622;01/10/2007;0;242180246,8;-4074283,32;5069262,13;0,2;0,06;0,14;0,09;1,43;0;1,43;0,01;1,42;0,47;1,85;1,69;0,73;0,06;0,11;18,57;0,22;0,83;0,12;0,05;0;78478;2516;80994;245,53;179,68;0,27;5;0,62;MÉDICO-HOSPITALAR;Seguradora Especializada em Saúde;RJ;1
